bootstrap_sample,n_node,cv_loss
39,7,0.002940962562791657
39,8,0.0029412390176357457
39,9,0.0029374371204349873
39,10,0.0029414115448616667
39,11,0.0029396143700875788
39,12,0.0029371181552398976
39,13,0.002938487131837654
39,14,0.002938921184503284
39,15,0.002940150445150678
40,5,0.003015924354150635
40,6,0.003016679406952208
40,7,0.003017962147014146
40,8,0.0030181505473051277
40,9,0.0030151605299686673
40,10,0.00301733651285672
40,11,0.003016314052059699
40,12,0.0030136479519718346
40,13,0.0030159400788449947
40,14,0.0030180567859770828
40,15,0.0030183533479022904
41,5,0.00298056568479143
41,6,0.002981701452307493
41,7,0.0029818715050771655
41,8,0.0029812226402966013
41,9,0.0029791318458022484
41,10,0.002982176789811936
41,11,0.0029802715708782154
41,12,0.002977585129394948
41,13,0.0029787901603807528
41,14,0.0029815537103238593
41,15,0.002981690376862345
42,5,0.0029720109420070624
42,6,0.0029745632222320934
42,7,0.002973520671644731
42,8,0.0029735314809551695
42,9,0.002971374336855335
42,10,0.0029733133822693034
42,11,0.002970903454193037
42,12,0.0029717746543773465
42,13,0.002972982237971373
42,14,0.0029720631740568376
42,15,0.0029720731469224846
43,5,0.002926816450453483
43,6,0.0029276007382801157
43,7,0.002928329638913455
43,8,0.0029280379494483234
43,9,0.002925433960617976
43,10,0.00292604327671189
43,11,0.002927119706485849
43,12,0.002923350072223795
43,13,0.002926658465012872
43,14,0.002926874225188276
43,15,0.002928497791670068
44,5,0.0030325060540778094
44,6,0.003033921660236008
44,7,0.003033715246382664
44,8,0.0030352365993437562
44,9,0.003030149393688925
44,10,0.0030321039556947264
44,11,0.0030319968565072973
44,12,0.003029901548169646
44,13,0.0030318664363045236
44,14,0.003031250287749312
44,15,0.003032891908887683
45,5,0.002939136881635753
45,6,0.0029409069028581325
45,7,0.002940296830144897
45,8,0.0029404643249064436
45,9,0.002938557929943478
45,10,0.0029391363119199787
45,11,0.002939149870498952
45,12,0.0029390819904497245
45,13,0.0029404508477553445
45,14,0.00293956174623153
45,15,0.0029402105451615144
46,5,0.002940442925993947
46,6,0.002941748221823271
46,7,0.0029401163917016867
46,8,0.0029407573677149514
46,9,0.0029370783241060767
46,10,0.0029384085474364855
46,11,0.0029383057397722764
46,12,0.00294034274470439
46,13,0.002938638885554988
46,14,0.0029372007120400667
46,15,0.002939263092137981
47,5,0.002948355839537557
47,6,0.0029492575454966217
47,7,0.0029498091829148775
47,8,0.0029502211682342306
47,9,0.0029486644368975643
47,10,0.0029500452084968726
47,11,0.0029483579347345107
47,12,0.002946310994789718
47,13,0.002949037885538743
47,14,0.0029503748359013637
